# Disclaimer - You may not use this list without acceptance of the below:
#
# The following IP addresses have been detected performing TCP SYN to 206.82.85.196/30 to a non-listening service or daemon.
# No assertion is made, nor implied, that any of the below listed IP addresses are accurate, malicious, hostile, or engaged in nefarious acts.
# Use this list at your own risk.  By using this list in any capacity or capability you release all claims of damages and shall not hold or perceive any
# liability against the publisher for:  damage, unexpected events or results, decision, or reputation damage, even those resulting from wilful
# or intentional neglect.
#
# No claims made against this data shall be honored; no assertions have been made about the quality, accuracy, usability, actionability,
# reputation, merit, or hostility of the below findings.
#
# If you feel that an IP address is inaccurately listed below please contact me at any RFC822 6.3, RFC1123 5.2.7, or RFC2821 4.5.1
# address associated with this domain; the below findings are soley fed by TCP SYN which is trivial to forge/spoof; no SYN-ACK/ACK 
# validation has been performed on the below IPv4 addresses, however, the honeypot does SYN-ACK..
#
# This list may not be included in any 'for-sale' component and may not be included in pay-wall subscription-based services except
# for organizations that I have explicitly given permission to by E-Mail which has been GPG signed using Key ID 0x37085D70.
#
# Changelog:
#     Fri Jan 10 2014 - A significant bug in Honeypot generation accuracy was found on Fri Jan 10 15:02 CST, prior entries in this list should be discarded.
#     Fri Jan 24 2014 - Added cumulative honeypot hit count of an IP seen across all days.  This will take effect for existing IPs forward-going.
#     Tue Jan 28 2014 - Corrected issue with cumulative hit count incrementing properly if the IP previously had a cumulative value.
#     Tue Feb 18 2014 - Sigh, failed to correctly shard the Mongo collection the first time.  Dumped the collection and resharded, this list was purged on Feb 18 2014.
#     Tue Feb 27 2014 - This list is now 48 hours (172800 seconds) of rolling data.
#     Fri Jun 20 2014 - Oops, sorry about the lack of updates since Jun 16 2014, the collection expanded nearly ten fold in number of IPs due to additional feeds and I needed to update the query timeout values.
#     Sat Jun 21 2014 - Time for some necessary indexes -- db.findings.createIndex({ 'packetmail_honeypot' : 1 }, { 'background' : 1 }); db.findings.createIndex({ 'packetmail_honeypot.last_seen' : 1 }, { 'background' : 1 });
#     Mon Mar 23 2015 - Fixed typo in field definitions.
#
# This list was last updated on Fri Oct 30 02:00:02 2015
#
# IP; last_seen; context; cumulative history
218.57.11.7; 2015-10-28 21:57:01; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 94
27.223.211.160; 2015-10-28 21:57:26; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
183.159.89.124; 2015-10-28 21:59:30; Honeypot hits in 3600 hash-collection seconds: 7; Cumulative honeypot hits for IP over all days: 49
189.51.157.28; 2015-10-28 22:02:30; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
23.94.66.152; 2015-10-28 22:05:22; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 94
84.241.34.73; 2015-10-28 22:10:48; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
69.127.127.4; 2015-10-28 22:15:42; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
184.105.247.244; 2015-10-28 22:18:26; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 73
216.218.206.75; 2015-10-28 22:22:02; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 42
109.228.250.68; 2015-10-28 22:22:14; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
216.218.206.67; 2015-10-28 22:22:34; Honeypot hits in 3600 hash-collection seconds: 4; Cumulative honeypot hits for IP over all days: 620
74.82.47.56; 2015-10-28 22:22:34; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 31
74.82.47.4; 2015-10-28 22:23:09; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 769
111.253.110.1; 2015-10-28 22:29:43; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
46.237.207.196; 2015-10-28 22:47:09; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 27
186.195.13.48; 2015-10-28 22:47:59; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
59.45.79.117; 2015-10-28 22:48:09; Honeypot hits in 3600 hash-collection seconds: 7; Cumulative honeypot hits for IP over all days: 126
77.35.214.29; 2015-10-28 22:48:43; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
123.59.51.232; 2015-10-28 22:49:00; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 46
107.129.222.233; 2015-10-28 22:55:50; Honeypot hits in 3600 hash-collection seconds: 5; Cumulative honeypot hits for IP over all days: 43
45.56.68.164; 2015-10-28 23:08:43; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 192
5.135.157.45; 2015-10-28 23:10:31; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 479
125.142.78.245; 2015-10-28 23:23:02; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
124.224.21.66; 2015-10-28 23:25:57; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
185.56.82.27; 2015-10-28 23:37:16; Honeypot hits in 3600 hash-collection seconds: 25; Cumulative honeypot hits for IP over all days: 479
201.6.135.254; 2015-10-28 23:51:22; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
95.171.212.48; 2015-10-28 23:55:10; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
14.37.83.169; 2015-10-28 23:58:06; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
117.21.176.118; 2015-10-28 23:58:18; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 450
85.99.254.147; 2015-10-29 00:00:04; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
5.8.66.90; 2015-10-29 00:06:06; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 19
64.125.239.176; 2015-10-29 00:08:38; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 30
5.10.139.130; 2015-10-29 00:11:26; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 108
222.186.21.179; 2015-10-29 00:15:06; Honeypot hits in 3600 hash-collection seconds: 5; Cumulative honeypot hits for IP over all days: 266
64.125.239.36; 2015-10-29 00:18:21; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 45
64.125.239.223; 2015-10-29 00:19:29; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 18
125.208.13.94; 2015-10-29 00:28:22; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 20
87.223.213.83; 2015-10-29 00:33:46; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
222.186.56.73; 2015-10-29 01:08:20; Honeypot hits in 3600 hash-collection seconds: 5; Cumulative honeypot hits for IP over all days: 1549
61.160.41.209; 2015-10-29 01:10:31; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 21
5.79.239.233; 2015-10-29 01:26:21; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
109.98.11.166; 2015-10-29 01:45:19; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
94.102.49.7; 2015-10-29 01:49:38; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 23
113.58.114.241; 2015-10-29 01:53:20; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
116.117.253.243; 2015-10-29 02:02:44; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 14
121.154.12.202; 2015-10-29 02:06:02; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
184.105.247.251; 2015-10-29 02:10:45; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 53
75.129.206.193; 2015-10-29 02:12:05; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
91.236.75.4; 2015-10-29 02:12:20; Honeypot hits in 3600 hash-collection seconds: 11; Cumulative honeypot hits for IP over all days: 8572
74.82.47.18; 2015-10-29 02:13:48; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 53
74.82.47.2; 2015-10-29 02:15:02; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 916
218.89.137.3; 2015-10-29 02:23:36; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 93
113.183.170.159; 2015-10-29 02:23:42; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
188.79.46.84; 2015-10-29 02:27:52; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
58.218.211.198; 2015-10-29 02:31:44; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
61.50.187.112; 2015-10-29 02:33:55; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
58.168.51.65; 2015-10-29 02:44:02; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
96.44.187.190; 2015-10-29 02:48:48; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
115.76.97.148; 2015-10-29 02:49:31; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
210.41.225.142; 2015-10-29 02:51:34; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
59.188.77.146; 2015-10-29 02:57:25; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
80.15.131.51; 2015-10-29 03:03:53; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
110.45.158.47; 2015-10-29 03:07:39; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 8600
46.162.116.98; 2015-10-29 03:07:55; Honeypot hits in 3600 hash-collection seconds: 4; Cumulative honeypot hits for IP over all days: 19
46.161.40.33; 2015-10-29 03:12:24; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 14
89.242.234.82; 2015-10-29 03:17:37; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
175.126.104.121; 2015-10-29 03:20:13; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 38489
58.225.75.209; 2015-10-29 03:25:57; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 38625
211.56.229.146; 2015-10-29 03:28:52; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 35634
218.145.71.214; 2015-10-29 03:29:12; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 24871
222.236.46.237; 2015-10-29 03:33:13; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 37761
118.219.233.203; 2015-10-29 03:33:16; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 37566
116.122.36.126; 2015-10-29 03:34:29; Honeypot hits in 3600 hash-collection seconds: 30; Cumulative honeypot hits for IP over all days: 24825
1.234.39.198; 2015-10-29 03:39:24; Honeypot hits in 3600 hash-collection seconds: 28; Cumulative honeypot hits for IP over all days: 81412
211.236.81.124; 2015-10-29 03:39:37; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 11942
69.64.46.86; 2015-10-29 03:39:43; Honeypot hits in 3600 hash-collection seconds: 5; Cumulative honeypot hits for IP over all days: 141
193.189.117.56; 2015-10-29 03:40:10; Honeypot hits in 3600 hash-collection seconds: 43; Cumulative honeypot hits for IP over all days: 3239
211.218.126.212; 2015-10-29 03:40:31; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 33946
175.125.93.68; 2015-10-29 03:40:35; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 85441
211.245.23.187; 2015-10-29 03:41:55; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 73480
54.212.48.99; 2015-10-29 03:43:39; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
211.49.171.161; 2015-10-29 03:44:27; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 2413
37.152.154.88; 2015-10-29 03:48:06; Honeypot hits in 3600 hash-collection seconds: 7; Cumulative honeypot hits for IP over all days: 53
175.126.103.231; 2015-10-29 03:49:10; Honeypot hits in 3600 hash-collection seconds: 19; Cumulative honeypot hits for IP over all days: 963
114.207.246.156; 2015-10-29 03:49:58; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 1494
61.160.221.35; 2015-10-29 03:56:51; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 266
222.186.42.60; 2015-10-29 03:58:21; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 21
210.181.3.13; 2015-10-29 03:58:37; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 1440
114.202.2.154; 2015-10-29 03:59:18; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 37610
211.110.140.223; 2015-10-29 04:08:57; Honeypot hits in 3600 hash-collection seconds: 28; Cumulative honeypot hits for IP over all days: 39075
216.218.206.98; 2015-10-29 04:12:17; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 46
106.245.252.139; 2015-10-29 04:14:42; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 24177
218.232.111.75; 2015-10-29 04:16:53; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 37606
1.226.83.208; 2015-10-29 04:18:25; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 73301
86.121.176.229; 2015-10-29 04:22:51; Honeypot hits in 3600 hash-collection seconds: 33; Cumulative honeypot hits for IP over all days: 832
61.49.45.43; 2015-10-29 04:30:45; Honeypot hits in 3600 hash-collection seconds: 7; Cumulative honeypot hits for IP over all days: 73
218.38.136.13; 2015-10-29 04:32:05; Honeypot hits in 3600 hash-collection seconds: 19; Cumulative honeypot hits for IP over all days: 366
81.214.120.51; 2015-10-29 04:32:28; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
193.189.117.145; 2015-10-29 04:40:53; Honeypot hits in 3600 hash-collection seconds: 51; Cumulative honeypot hits for IP over all days: 3281
93.174.93.218; 2015-10-29 04:42:42; Honeypot hits in 3600 hash-collection seconds: 6; Cumulative honeypot hits for IP over all days: 55949
125.76.187.94; 2015-10-29 04:46:48; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
46.100.94.93; 2015-10-29 04:47:20; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
64.125.239.169; 2015-10-29 04:47:31; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 15
92.44.67.55; 2015-10-29 04:47:48; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
221.139.3.10; 2015-10-29 04:50:15; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 29700
149.202.76.9; 2015-10-29 05:09:37; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
93.174.93.194; 2015-10-29 05:10:43; Honeypot hits in 3600 hash-collection seconds: 35; Cumulative honeypot hits for IP over all days: 1021
222.186.21.196; 2015-10-29 05:21:21; Honeypot hits in 3600 hash-collection seconds: 47; Cumulative honeypot hits for IP over all days: 19036
123.233.112.252; 2015-10-29 05:26:25; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 6
123.233.112.247; 2015-10-29 05:26:25; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 9
58.56.4.178; 2015-10-29 05:26:26; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 6
222.239.252.177; 2015-10-29 05:27:37; Honeypot hits in 3600 hash-collection seconds: 20; Cumulative honeypot hits for IP over all days: 409
76.164.224.34; 2015-10-29 05:32:08; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 32
83.250.92.128; 2015-10-29 05:37:12; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
43.229.53.56; 2015-10-29 05:37:56; Honeypot hits in 3600 hash-collection seconds: 39; Cumulative honeypot hits for IP over all days: 2158
64.125.239.110; 2015-10-29 05:41:49; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 16
105.227.101.205; 2015-10-29 05:44:14; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
74.208.146.132; 2015-10-29 05:44:23; Honeypot hits in 3600 hash-collection seconds: 21; Cumulative honeypot hits for IP over all days: 372
203.234.128.15; 2015-10-29 05:44:48; Honeypot hits in 3600 hash-collection seconds: 31; Cumulative honeypot hits for IP over all days: 980
122.224.6.172; 2015-10-29 05:49:03; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
31.168.67.106; 2015-10-29 05:53:21; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
61.182.170.38; 2015-10-29 06:06:20; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 794
198.55.103.9; 2015-10-29 06:06:21; Honeypot hits in 3600 hash-collection seconds: 7; Cumulative honeypot hits for IP over all days: 259
187.52.69.156; 2015-10-29 06:06:50; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
187.189.20.117; 2015-10-29 06:16:56; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
49.114.97.243; 2015-10-29 06:25:07; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
60.0.68.221; 2015-10-29 06:28:51; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
188.68.224.151; 2015-10-29 06:32:18; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 13
216.218.206.114; 2015-10-29 06:47:07; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 54
61.147.103.166; 2015-10-29 06:47:25; Honeypot hits in 3600 hash-collection seconds: 89; Cumulative honeypot hits for IP over all days: 88758
87.237.47.42; 2015-10-29 06:48:15; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
193.189.117.120; 2015-10-29 06:53:19; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 13
175.22.125.17; 2015-10-29 06:59:07; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
222.186.190.167; 2015-10-29 07:03:21; Honeypot hits in 3600 hash-collection seconds: 45; Cumulative honeypot hits for IP over all days: 1800
58.7.184.159; 2015-10-29 07:04:42; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
188.138.75.83; 2015-10-29 07:05:56; Honeypot hits in 3600 hash-collection seconds: 35; Cumulative honeypot hits for IP over all days: 1108
184.105.247.247; 2015-10-29 07:11:43; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 55
222.186.21.163; 2015-10-29 07:14:07; Honeypot hits in 3600 hash-collection seconds: 5; Cumulative honeypot hits for IP over all days: 299
103.15.63.68; 2015-10-29 07:18:20; Honeypot hits in 3600 hash-collection seconds: 7; Cumulative honeypot hits for IP over all days: 1699
112.160.101.201; 2015-10-29 07:21:57; Honeypot hits in 3600 hash-collection seconds: 10; Cumulative honeypot hits for IP over all days: 133
222.186.42.164; 2015-10-29 07:24:33; Honeypot hits in 3600 hash-collection seconds: 5; Cumulative honeypot hits for IP over all days: 263
211.110.44.40; 2015-10-29 07:35:58; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 7496
87.223.21.199; 2015-10-29 07:44:13; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
195.154.211.78; 2015-10-29 07:44:35; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
64.125.239.224; 2015-10-29 07:52:39; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 18
64.125.239.201; 2015-10-29 08:04:29; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 13
23.102.48.165; 2015-10-29 08:06:03; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
80.82.78.66; 2015-10-29 08:07:25; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 148
83.0.214.21; 2015-10-29 08:07:39; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
109.62.238.205; 2015-10-29 08:13:33; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
169.54.233.118; 2015-10-29 08:16:52; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 86
210.99.231.155; 2015-10-29 08:18:23; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
121.78.239.31; 2015-10-29 08:18:27; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 33803
222.234.2.46; 2015-10-29 08:19:22; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 36922
175.126.74.44; 2015-10-29 08:20:24; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 33362
212.7.209.9; 2015-10-29 08:21:08; Honeypot hits in 3600 hash-collection seconds: 20; Cumulative honeypot hits for IP over all days: 118968
49.1.244.167; 2015-10-29 08:21:22; Honeypot hits in 3600 hash-collection seconds: 11; Cumulative honeypot hits for IP over all days: 132
110.45.145.88; 2015-10-29 08:21:31; Honeypot hits in 3600 hash-collection seconds: 30; Cumulative honeypot hits for IP over all days: 36436
212.164.231.250; 2015-10-29 08:25:27; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
212.7.199.208; 2015-10-29 08:27:36; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 1526
211.110.140.97; 2015-10-29 08:28:39; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 32354
175.126.180.64; 2015-10-29 08:31:48; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 25625
211.117.129.242; 2015-10-29 08:33:04; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 2829
175.126.103.124; 2015-10-29 08:33:06; Honeypot hits in 3600 hash-collection seconds: 28; Cumulative honeypot hits for IP over all days: 29200
54.212.59.84; 2015-10-29 08:33:54; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
113.98.255.48; 2015-10-29 08:36:45; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 193
112.175.243.21; 2015-10-29 08:39:24; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 6307
179.187.165.147; 2015-10-29 08:41:46; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
187.5.121.246; 2015-10-29 08:46:03; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 5
64.125.239.131; 2015-10-29 08:46:30; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 38
210.245.92.199; 2015-10-29 08:50:55; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 1440
58.230.118.110; 2015-10-29 08:59:43; Honeypot hits in 3600 hash-collection seconds: 19; Cumulative honeypot hits for IP over all days: 311
88.247.70.122; 2015-10-29 09:02:22; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
163.53.247.3; 2015-10-29 09:02:31; Honeypot hits in 3600 hash-collection seconds: 5; Cumulative honeypot hits for IP over all days: 27
59.126.107.220; 2015-10-29 09:04:02; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
218.38.12.21; 2015-10-29 09:04:16; Honeypot hits in 3600 hash-collection seconds: 19; Cumulative honeypot hits for IP over all days: 311
117.149.26.71; 2015-10-29 09:05:36; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
176.121.5.146; 2015-10-29 09:26:12; Honeypot hits in 3600 hash-collection seconds: 11; Cumulative honeypot hits for IP over all days: 127
202.39.79.208; 2015-10-29 09:45:35; Honeypot hits in 3600 hash-collection seconds: 20; Cumulative honeypot hits for IP over all days: 869
50.248.158.50; 2015-10-29 09:48:08; Honeypot hits in 3600 hash-collection seconds: 4; Cumulative honeypot hits for IP over all days: 38
85.97.132.144; 2015-10-29 09:49:23; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
222.186.129.85; 2015-10-29 09:51:07; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 18
93.174.93.138; 2015-10-29 09:57:07; Honeypot hits in 3600 hash-collection seconds: 17; Cumulative honeypot hits for IP over all days: 788
64.125.239.200; 2015-10-29 10:06:29; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 14
182.54.213.108; 2015-10-29 10:06:52; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
89.248.168.21; 2015-10-29 10:10:36; Honeypot hits in 3600 hash-collection seconds: 13; Cumulative honeypot hits for IP over all days: 1259
171.108.156.26; 2015-10-29 10:11:02; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
199.89.54.108; 2015-10-29 10:15:41; Honeypot hits in 3600 hash-collection seconds: 5; Cumulative honeypot hits for IP over all days: 30
216.243.31.2; 2015-10-29 10:19:06; Honeypot hits in 3600 hash-collection seconds: 4; Cumulative honeypot hits for IP over all days: 750
64.125.239.109; 2015-10-29 10:30:51; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 11
173.193.232.34; 2015-10-29 10:32:06; Honeypot hits in 3600 hash-collection seconds: 49; Cumulative honeypot hits for IP over all days: 17300
128.72.176.158; 2015-10-29 10:35:47; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
